Restaurant Name,Average Rating,Total Popularity
Dabba Meat,3.25,224
Black Pepper,2.05,223
Punjabi Zaika,2.35,223
Punjabi Chaap Corner,2.35,221
Chaska,2.375,220
Green Leaf,3.25,220
The Artful Baker,2,220
First Eat,3.8,219
Mr. Sub,2.583333333,217
221 B Baker Street,3.366666667,215
Arabian Delites,3.6,214
The Chocolate Room,3.5,214
Kerala Cafe,3.066666667,214
Timboo Cafe,4.2,213
Shyam Sweets,3.45,209
Stop My Starvation,4.3,209
Fast Trax,3.3,207
Punjabi Rasoi,1.25,207
The Chai Story,3.7,206
Nukkadwala,2.82,206
Mithaas,3.05,205
Flying Cakes,2.233333333,205
Dilli Darbar,3.1,204
The Pint Room,3.7,203
Hot Cherries,3.6,200
Punjabi Pakwaan,3.133333333,199
Patiala Shahi,3.45,196
Chawla's Tandoori Junction,2.266666667,195
Bengal Sweet Corner,2.8,192
Say Cheese,2.7,192
Chick-fil-A,3.7,192
Moon Bite,3.2,190
Big Dragon,3.35,189
Dunkin Donuts,4,188
Jahangeer Foods,3.25,188
Yumm Biryani,3.2,187
Crudo Juicery,4.3,187
SGF - Spice Grill Flame,3.2,187
Taste of India,2.1,186
Chawla's,3.35,185
Nazeer Delicacies,3.3,184
Punjabi Tadka,2.55,182
Tamura,3.4,182
Let's Noodle,1.3,182
Dezertfox,3.9,181
La Americana,3.65,180
Fit Bites,3.75,180
Habibi Express,1.5,177
4700BC Popcorn,3.5,176
Hungry Minister,3.5,176
Kathi Junction,1.625,174
Cake Palace,3.25,171
Kulcha King,1.9,170
Sethi's The Cake Shop,3.35,166
Nagpal's,3.45,166
The Tandoor,3,166
Burger Joint,1.75,165
Perfect Bake,3.55,165
Cook Du Kdu,3.15,164
Caff�� La Poya,1.85,164
Moksha,3.45,164
Kanha Sweets,3.45,164
Hunger Strike,3.5,162
Roll Club,3.066666667,162
Los Agaves,2.05,160
Hornbill,3.55,156
The Chinese Hut,2.86,155
Sri Balaji,2.333333333,155
Chawla's Chic Inn,3.033333333,155
Cones & Curries,1.85,153
Hotel Malabar,3.3,153
Paramjeet Machi Wala,3.5,152
High On Burgers,3.35,152
Frozen Factory,3.8,151
Tikka Junction,3.433333333,150
Country Curries,3.1,147
Ashok Meat Wala,3.55,146
Manohar Bikkaneri,3.7,145
Sushiya Express,3.633333333,144
Foodhall,2.533333333,143
Shawarma King's,3.4,143
Bobby Tikki Wala,2.9,143
Gupta Chat Corner,3.5,143
Bhoj Restaurant,3.25,143
Koyla Kebab,3.35,141
Hira Sweets,3.033333333,140
Le Chef,3.15,140
Polka Pastry & Snack Bar,3.1,139
Punjab Restaurant,3.266666667,137
Jaiveer Naan & Chaap,2.9,133
Food Express,1.8,128
Night Food Xprs,2.7,127
Pakwan,2.075,126
Frontier,2.828571429,125
Momo-Cha,2.725,124
Muffins,2.7,122
Chawla's Tandoori Xpress,2.85,120
Hot Stuff,3.4,119
